"filename", "language", "Vue.js", "JavaScript", "CSS", "comment", "blank", "total"
"f:\VSCodeWorkspace\hj-project\src\App.vue", "Vue.js", 23, 0, 0, 3, 4, 30
"f:\VSCodeWorkspace\hj-project\src\components\AccountManage.vue", "Vue.js", 15, 0, 0, 0, 3, 18
"f:\VSCodeWorkspace\hj-project\src\components\AccountManage\AccountDetailTable.vue", "Vue.js", 261, 0, 0, 24, 3, 288
"f:\VSCodeWorkspace\hj-project\src\components\AccountManage\ModifyPasswordPopUp.vue", "Vue.js", 53, 0, 0, 0, 4, 57
"f:\VSCodeWorkspace\hj-project\src\components\AlarmCenter.vue", "Vue.js", 155, 0, 0, 4, 4, 163
"f:\VSCodeWorkspace\hj-project\src\components\BackendManage.vue", "Vue.js", 15, 0, 0, 0, 3, 18
"f:\VSCodeWorkspace\hj-project\src\components\BackendManageComp\CompanyManage.vue", "Vue.js", 149, 0, 0, 12, 4, 165
"f:\VSCodeWorkspace\hj-project\src\components\BackendManageComp\DeviceTablePopUp.vue", "Vue.js", 264, 0, 0, 15, 4, 283
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuAlert\AlertComp.vue", "Vue.js", 35, 0, 0, 0, 2, 37
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuAlert\XuAlert.js", "JavaScript", 0, 27, 0, 0, 2, 29
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuChart.vue", "Vue.js", 144, 0, 0, 14, 4, 162
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuForm.vue", "Vue.js", 207, 0, 0, 13, 6, 226
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuModal.vue", "Vue.js", 104, 0, 0, 5, 3, 112
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuPageNav.vue", "Vue.js", 176, 0, 0, 14, 3, 193
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuSelect.vue", "Vue.js", 169, 0, 0, 11, 5, 185
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuSwitch.vue", "Vue.js", 77, 0, 0, 1, 5, 83
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuToastr\ToastrComp.vue", "Vue.js", 58, 0, 0, 0, 2, 60
"f:\VSCodeWorkspace\hj-project\src\components\CommonComponents\XuComponent\XuToastr\XuToastr.js", "JavaScript", 0, 26, 0, 0, 5, 31
"f:\VSCodeWorkspace\hj-project\src\components\DataParse.vue", "Vue.js", 19, 0, 0, 0, 3, 22
"f:\VSCodeWorkspace\hj-project\src\components\DataParseComp\DataParseMatchPopUp.vue", "Vue.js", 145, 0, 0, 11, 4, 160
"f:\VSCodeWorkspace\hj-project\src\components\DataParseComp\MachineDataParsePopUp.vue", "Vue.js", 198, 0, 0, 15, 4, 217
"f:\VSCodeWorkspace\hj-project\src\components\DataParseComp\MachineModelManage.vue", "Vue.js", 133, 0, 0, 8, 6, 147
"f:\VSCodeWorkspace\hj-project\src\components\DeviceManage.vue", "Vue.js", 177, 0, 0, 25, 6, 208
"f:\VSCodeWorkspace\hj-project\src\components\DeviceManageComp\AboutCompany.vue", "Vue.js", 73, 0, 0, 1, 2, 76
"f:\VSCodeWorkspace\hj-project\src\components\DeviceManageComp\AboutCompanyComp\ModelDetailPopUp.vue", "Vue.js", 72, 0, 0, 4, 3, 79
"f:\VSCodeWorkspace\hj-project\src\components\DeviceManageComp\AboutModel.vue", "Vue.js", 67, 0, 0, 1, 2, 70
"f:\VSCodeWorkspace\hj-project\src\components\DeviceManageComp\AboutModelComp\CompanyDetailPopUp.vue", "Vue.js", 51, 0, 0, 3, 4, 58
"f:\VSCodeWorkspace\hj-project\src\components\DeviceManageComp\ChartStatics.vue", "Vue.js", 64, 0, 0, 1, 3, 68
"f:\VSCodeWorkspace\hj-project\src\components\DeviceManageComp\DeviceTable.vue", "Vue.js", 219, 0, 0, 12, 2, 233
"f:\VSCodeWorkspace\hj-project\src\components\DeviceMonitor.vue", "Vue.js", 116, 0, 0, 21, 5, 142
"f:\VSCodeWorkspace\hj-project\src\components\DeviceMonitorComp\ECUStaticsInfo.vue", "Vue.js", 108, 0, 0, 0, 3, 111
"f:\VSCodeWorkspace\hj-project\src\components\DeviceMonitorComp\MainMap.vue", "Vue.js", 246, 0, 0, 11, 6, 263
"f:\VSCodeWorkspace\hj-project\src\components\DeviceMonitorComp\PointInfoWindow.vue", "Vue.js", 83, 0, 0, 0, 3, 86
"f:\VSCodeWorkspace\hj-project\src\components\RepairCenter.vue", "Vue.js", 186, 0, 0, 8, 4, 198
"f:\VSCodeWorkspace\hj-project\src\components\RoleManage.vue", "Vue.js", 23, 0, 0, 0, 5, 28
"f:\VSCodeWorkspace\hj-project\src\components\RoleManageComp\RoleDetailTable.vue", "Vue.js", 164, 0, 0, 18, 3, 185
"f:\VSCodeWorkspace\hj-project\src\components\SharePopUp\SingleMonitor\DevHistoryAlarmInfosPopUp.vue", "Vue.js", 97, 0, 0, 3, 3, 103
"f:\VSCodeWorkspace\hj-project\src\components\SharePopUp\SingleMonitor\DevHistoryRepairInfosPopUp.vue", "Vue.js", 93, 0, 0, 3, 3, 99
"f:\VSCodeWorkspace\hj-project\src\components\SharePopUp\SingleMonitor\SingleMonitorPopUp.vue", "Vue.js", 473, 0, 0, 30, 6, 509
"f:\VSCodeWorkspace\hj-project\src\main.js", "JavaScript", 0, 21, 0, 3, 8, 32
"f:\VSCodeWorkspace\hj-project\src\plugins\XuCSS.css", "CSS", 0, 0, 515, 37, 34, 586
"f:\VSCodeWorkspace\hj-project\src\plugins\XuCSS.js", "JavaScript", 0, 31, 0, 0, 6, 37
"f:\VSCodeWorkspace\hj-project\src\plugins\commonJS.js", "JavaScript", 0, 65, 0, 5, 4, 74
"f:\VSCodeWorkspace\hj-project\src\plugins\shareCSS.css", "CSS", 0, 0, 8, 3, 2, 13
"f:\VSCodeWorkspace\hj-project\src\plugins\toastrConfig.js", "JavaScript", 0, 10, 0, 0, 3, 13
"f:\VSCodeWorkspace\hj-project\src\router.js", "JavaScript", 0, 106, 0, 3, 9, 118
"f:\VSCodeWorkspace\hj-project\src\service\Http.js", "JavaScript", 0, 125, 0, 27, 17, 169
"f:\VSCodeWorkspace\hj-project\src\service\api.js", "JavaScript", 0, 275, 0, 73, 19, 367
"f:\VSCodeWorkspace\hj-project\src\service\login.js", "JavaScript", 0, 5, 0, 1, 6, 12
"f:\VSCodeWorkspace\hj-project\src\store\store.js", "JavaScript", 0, 22, 0, 1, 5, 28
"f:\VSCodeWorkspace\hj-project\src\views\Login.vue", "Vue.js", 131, 0, 0, 1, 9, 141
"f:\VSCodeWorkspace\hj-project\src\views\MainContent.vue", "Vue.js", 201, 0, 0, 7, 5, 213
"Total", "-", 5044, 713, 523, 452, 273, 7005